path,md5,sha1,sha256,crc32c
Red Hat Enterprise Linux 9/rhel-baseos-9.0-x86_64-boot.iso,6e3238edf464bb169e3930b5b4708c67,4df8c905458e6c7bbf3a1977b8be6a025e99fac8,f3ca9b53122212ed98866ef60e4895cc762493ced765e2961458944ba7c0ced3,772611c5
Red Hat Enterprise Linux 9/rhel-baseos-9.0-aarch64-boot.iso,849d7787626161b1efba3408a7821db7,14b9cc41a360d93864f5f4e48d72128d191a9f85,e34e781d7357ccd9c913d3e1fa8a1f3cb702a42809a8694856c973f67076435c,4fe09753
Red Hat Enterprise Linux 9/rhel-baseos-9.0-x86_64-dvd.iso,2c3fb85b07f158c21e5b996ba385272b,9616bf028f1475aa13517a869979f1e60402294a,c6942e3ed65947ed48c30589d9c1a752e96c5b94ee8de1923331449fee162cc1,5de403ec
Red Hat Enterprise Linux 9/rhel-baseos-9.0-aarch64-dvd.iso,b921d9da4d6d976e3e3025b9044aedd6,acd96c1f7519430571b97c4ebf9dea194ed6a11b,635cddcdf02000ab6ffc264d3cfda4c3031196f69ee0c1ad4178824ebff6baae,ad482d8f
