path,md5,sha1,sha256,crc32c
Red Hat Enterprise Linux 10.0/rhel-10.0-x86_64-dvd.iso,0a92b39f1714211f8dc1c3ed2eb719b2,28f80139c320a1b9b4f67e67058eadcbdd88d45a,edce2dd6f8e1d1b2ff0b204f89b0659bc9e320d175beb7caad60712957a19608,06684875
Red Hat Enterprise Linux 10.0/rhel-10.0-x86_64-wsl2.tar,23f6956e2ab592a6cfa8f3d5ee9494f2,c2abdafd821a97cf3d5548686f884d2e8aef0f0e,d178d6b74c65f53e31c0cf25370e2e0fd19314d41476b6b7e798e52b60f5a88c,609a89fd
Red Hat Enterprise Linux 10.0/rhel-10.0-aarch64-boot.iso,fd268cede2f92023fe4b990efe3ba7a9,a66ed29aeca24f93208f75d9a8c62a8fa57ec41e,657dcfd91b2434bb3ee57f0b035c85d86a9f683ca6519c3785ec27cdf672f2e6,968ed217
Red Hat Enterprise Linux 10.0/rhel-10.0-aarch64-dvd.iso,b75b7d31075e11b97f82f8783be840a4,a6f3f723a5a3765c133588935a59a7ca566b5d58,5ccdd72c89830273dfcd5f57dc19084ea03ee7666d079b35330002ace0e1ce5e,8f20017e
