path,md5,sha1,sha256,crc32c
C:\Users\Administrator\Downloads\LKY_OfficeTools_v1.3.0.223.zip,0e5f42f75f54e4e51a3447c520d0bb28,d4f34dc1c622e22739232be7a548431a00c0df5c,821fd472dd201c8846b88832b60862e2bb367acc38f115231ce4588047b0b4cb,219ded3d
C:\Users\Administrator\Downloads\Microsoft.DesktopAppInstaller_8wekyb3d8bbwe.msixbundle,8a7311fd21483974ca27228e668e5df9,ecafbfbee334d62e9921664b82573d68beda55af,db76671a4e8f5fac9c96c2861907b04fd041b28235267c2e5626a2cef7468e19,369299d2
C:\Users\Administrator\Downloads\MobaXterm_Portable_v25.2.zip,ad8fe0a12e1d0344a43e75cb19238fb9,c38c4c237c19dc694654f2ea98682c00d1e2810f,b279fe9ec9b22200288778cc4a4a14aca66e64824cd73ac1bb94a71e38d64ef3,458f2a45
C:\Users\Administrator\Downloads\mysql-8.4.6-winx64.msi,ba097115eb639547d1817ca4a9fbe3a7,0f73e5ce32a8aea04046dd08c3f497d541d839d6,868885b2e221409f0170729bb30b2b2ce83440a1a4c735d19b3c225b51045762,e87be1c4
C:\Users\Administrator\Downloads\mysql-9.4.0-winx64.msi,94e72749e5dff50137571f614440f1a2,2edd65a051c71fc0ee03514fb3273bac157e1f90,abf5647ef1e7de58ca1af007306cdd31f7dda5ca7ac92bb001b090923f8ca359,e8f1e47b
C:\Users\Administrator\Downloads\mysql-shell-8.4.6-windows-x86-64bit.msi,5e816face779c4823d9c74edc6c5c2c9,db84e7bbb97596362b7b0805c7e4df79d6dcf89d,2218112a7fad186e81aeecbb566404b5e1f1b5fe1c796d55ddc3bad4943c0d5d,5b2e7b01
C:\Users\Administrator\Downloads\mysql-workbench-community-8.0.43-winx64.msi,f88b4bbd507c88b99795c8f4ba90e167,fba412c1ff91ae7db330770a8503a30fa67058ed,e0df3413dc8a1f23e429276e76baf0ac2bf9e42096a3bb0b025eeeb727e3e075,68b70e7a
C:\Users\Administrator\Downloads\nssm-2.24.zip,b2edd0e4a7a7be9d157c0da0ef65b1bc,be7b3577c6e3a280e5106a9e9db5b3775931cefc,727d1e42275c605e0f04aba98095c38a8e1e46def453cdffce42869428aa6743,4a1034bf
C:\Users\Administrator\Downloads\openwrt-24.10.2-x86-64-generic-ext4-combined-efi.img.gz,9e10211fbd2946c0faa03f17d74e3a5d,8acd95c41e0889c2866a563c1b222af757ae21a3,c7b99354b8f4225592a5b4c1224e972945ac4d90d8e9143eef297d24454d27fa,3e40fada
C:\Users\Administrator\Downloads\openwrt-24.10.2-x86-64-generic-ext4-combined.img.gz,914f8ee8fd6d1537468af31879b88a6b,599991ab6488f6d17b54f16bac2d88033f671e45,e6c906efee992a2c7a2029a1c8ba688933066da92251696734fe70dbad17696d,066e2b79
C:\Users\Administrator\Downloads\pfSense-CE-2.6.0-RELEASE-amd64.iso,5ca6d4cb89977022d2e76c9158eeeb67,eedf5e04f08978afaba174576b04e62d5fd7f7a4,f6520bb14a5e690c6533e4e8fbf4a48d2967f3bc35a713e716b9c64317a13f23,ac191af8
C:\Users\Administrator\Downloads\pfSense-CE-2.7.2-RELEASE-amd64.iso,50c3e723d68ec74d038041a34fa846f8,0b01a0e3c23360947d6c11c3dede8051bf8cad3d,441005f79ea0c155bc4b830a2b4207f8c0804cf7b075d2a6489c0a136cbc5d51,b7a62c53
