path,md5,sha1,sha256,crc32c
Red Hat Enterprise Linux 8.8/rhel-8.8-x86_64-dvd.iso,b32c5b063f8ff3b4ef194108fcc6e77a,e03fa98a27e7337f7dec9f325c94456e2d7f9305,517abcc67ee3b7212f57e180f5d30be3e8269e7a99e127a3399b7935c7e00a09,dbc10c5a
Red Hat Enterprise Linux 8.8/rhel-8.8-aarch64-dvd.iso,4ec171b48868122b405b48707531c917,868c82bae06421b940dc9dbc917d32ce6ed8b7e3,db49b3d58cad98aa43063a76d3bda0076571b86d06f03bb723d0a82623ba2276,bbdb9738
Red Hat Enterprise Linux 8.8/rhel-8.8-aarch64-boot.iso,d06c8252195df76b654864cd3834edc1,5dad1c89ef2fd589cfcd251bee8177fadc3a8825,ec5d73fc31cdedc475992a54f47f18a58453b04c7a61cfe8ddf0308f80318c31,42e4476a
Red Hat Enterprise Linux 8.8/rhel-8.8-x86_64-boot.iso,cc6b5e8fbc6d2ce6ac0c9ebf455c193a,085402bec37a50b9022a9dcf0663883fcfcb8ca8,1419ea8ae06722f858734bcc8060285314c335522e2086f0963941cd00432f8c,d3024f06
